,FORMULA,stabilityVec
46,Ga0.9 Ag0.1,0.0
46,Ga1,1.0
47,Gd0.1 Ag0.9,0.0
47,Gd0.2 Ag0.8,0.0
47,Gd0.3 Ag0.7,0.0
47,Gd0.4 Ag0.6,0.0
47,Gd0.5 Ag0.5,1.0
47,Gd0.6 Ag0.4,0.0
47,Gd0.7 Ag0.3,1.0
47,Gd0.8 Ag0.2,0.0
47,Gd0.9 Ag0.1,0.0
47,Gd1,1.0
48,Ag0.9 Ir0.1,0.0
48,Ag0.8 Ir0.2,0.0
48,Ag0.7 Ir0.3,0.0
48,Ag0.6 Ir0.4,0.0
48,Ag0.5 Ir0.5,0.0
48,Ag0.4 Ir0.6,0.0
48,Ag0.3 Ir0.7,0.0
48,Ag0.2 Ir0.8,0.0
48,Ag0.1 Ir0.9,0.0
49,K0.1 Ag0.9,0.0
49,K0.2 Ag0.8,0.0
49,K0.3 Ag0.7,0.0
49,K0.4 Ag0.6,0.0
49,K0.5 Ag0.5,0.0
49,K0.6 Ag0.4,0.0
49,K0.7 Ag0.3,1.0
49,K0.8 Ag0.2,0.0
49,K0.9 Ag0.1,0.0
49,K1,1.0
50,Li0.1 Ag0.9,0.0
50,Li0.2 Ag0.8,0.0
50,Li0.3 Ag0.7,1.0
50,Li0.4 Ag0.6,0.0
50,Li0.5 Ag0.5,1.0
50,Li0.6 Ag0.4,0.0
50,Li0.7 Ag0.3,0.0
50,Li0.8 Ag0.2,1.0
50,Li0.9 Ag0.1,0.0
50,Li1,1.0
51,Na0.1 Ag0.9,0.0
51,Na0.2 Ag0.8,0.0
51,Na0.3 Ag0.7,0.0
51,Na0.4 Ag0.6,0.0
51,Na0.5 Ag0.5,0.0
51,Na0.6 Ag0.4,0.0
51,Na0.7 Ag0.3,1.0
51,Na0.8 Ag0.2,0.0
51,Na0.9 Ag0.1,0.0
52,Ag0.9 Ne0.1,0.0
52,Ag0.8 Ne0.2,0.0
52,Ag0.7 Ne0.3,0.0
52,Ag0.6 Ne0.4,0.0
52,Ag0.5 Ne0.5,0.0
52,Ag0.4 Ne0.6,0.0
52,Ag0.3 Ne0.7,0.0
52,Ag0.2 Ne0.8,0.0
52,Ag0.1 Ne0.9,0.0
52,Ne1,1.0
53,Pa0.1 Ag0.9,0.0
53,Pa0.2 Ag0.8,0.0
53,Pa0.3 Ag0.7,0.0
53,Pa0.4 Ag0.6,0.0
53,Pa0.5 Ag0.5,0.0
53,Pa0.6 Ag0.4,0.0
53,Pa0.7 Ag0.3,0.0
53,Pa0.8 Ag0.2,0.0
53,Pa0.9 Ag0.1,0.0
54,Ag0.9 Pb0.1,0.0
54,Ag0.8 Pb0.2,0.0
54,Ag0.7 Pb0.3,0.0
54,Ag0.6 Pb0.4,0.0
54,Ag0.5 Pb0.5,0.0
54,Ag0.4 Pb0.6,0.0
54,Ag0.3 Pb0.7,0.0
54,Ag0.2 Pb0.8,0.0
54,Ag0.1 Pb0.9,0.0
54,Pb1,1.0
55,Ag0.9 Pd0.1,0.0
55,Ag0.8 Pd0.2,0.0
55,Ag0.7 Pd0.3,0.0
55,Ag0.6 Pd0.4,0.0
55,Ag0.5 Pd0.5,0.0
55,Ag0.4 Pd0.6,0.0
55,Ag0.3 Pd0.7,0.0
55,Ag0.2 Pd0.8,1.0
55,Ag0.1 Pd0.9,0.0
56,Ag0.9 Rh0.1,0.0
56,Ag0.8 Rh0.2,0.0
56,Ag0.7 Rh0.3,0.0
56,Ag0.6 Rh0.4,0.0
56,Ag0.5 Rh0.5,0.0
56,Ag0.4 Rh0.6,0.0
56,Ag0.3 Rh0.7,0.0
56,Ag0.2 Rh0.8,0.0
56,Ag0.1 Rh0.9,0.0
57,Ag0.9 S0.1,0.0
57,Ag0.8 S0.2,0.0
57,Ag0.7 S0.3,0.0
57,Ag0.6 S0.4,0.0
57,Ag0.5 S0.5,0.0
57,Ag0.4 S0.6,0.0
57,Ag0.3 S0.7,1.0
57,Ag0.2 S0.8,0.0
57,Ag0.1 S0.9,0.0
57,S1,1.0
58,Ag0.9 Sb0.1,0.0
58,Ag0.8 Sb0.2,0.0
58,Ag0.7 Sb0.3,0.0
58,Ag0.6 Sb0.4,0.0
58,Ag0.5 Sb0.5,0.0
58,Ag0.4 Sb0.6,0.0
58,Ag0.3 Sb0.7,0.0
58,Ag0.2 Sb0.8,0.0
58,Ag0.1 Sb0.9,0.0
59,Sc0.1 Ag0.9,0.0
59,Sc0.2 Ag0.8,0.0
59,Sc0.3 Ag0.7,0.0
59,Sc0.4 Ag0.6,0.0
59,Sc0.5 Ag0.5,1.0
59,Sc0.6 Ag0.4,0.0
59,Sc0.7 Ag0.3,0.0
59,Sc0.8 Ag0.2,1.0
59,Sc0.9 Ag0.1,0.0
59,Sc1,1.0
60,Sm0.1 Ag0.9,0.0
60,Sm0.2 Ag0.8,0.0
60,Sm0.3 Ag0.7,0.0
60,Sm0.4 Ag0.6,0.0
60,Sm0.5 Ag0.5,1.0
60,Sm0.6 Ag0.4,0.0
60,Sm0.7 Ag0.3,0.0
60,Sm0.8 Ag0.2,1.0
60,Sm0.9 Ag0.1,0.0
60,Sm1,1.0
61,Tb0.1 Ag0.9,0.0
61,Tb0.2 Ag0.8,0.0
61,Tb0.3 Ag0.7,0.0
61,Tb0.4 Ag0.6,0.0
61,Tb0.5 Ag0.5,1.0
61,Tb0.6 Ag0.4,0.0
61,Tb0.7 Ag0.3,1.0
61,Tb0.8 Ag0.2,0.0
61,Tb0.9 Ag0.1,0.0
62,Ag0.9 Te0.1,0.0
62,Ag0.8 Te0.2,0.0
62,Ag0.7 Te0.3,0.0
62,Ag0.6 Te0.4,0.0
62,Ag0.5 Te0.5,0.0
62,Ag0.4 Te0.6,0.0
62,Ag0.3 Te0.7,1.0
62,Ag0.2 Te0.8,0.0
62,Ag0.1 Te0.9,0.0
62,Te1,1.0
63,Ti0.1 Ag0.9,0.0
63,Ti0.2 Ag0.8,0.0
63,Ti0.3 Ag0.7,1.0
63,Ti0.4 Ag0.6,0.0
63,Ti0.5 Ag0.5,0.0
63,Ti0.6 Ag0.4,0.0
63,Ti0.7 Ag0.3,0.0
63,Ti0.8 Ag0.2,0.0
63,Ti0.9 Ag0.1,0.0
64,U0.1 Ag0.9,0.0
64,U0.2 Ag0.8,0.0
64,U0.3 Ag0.7,0.0
64,U0.4 Ag0.6,0.0
64,U0.5 Ag0.5,0.0
64,U0.6 Ag0.4,0.0
64,U0.7 Ag0.3,0.0
64,U0.8 Ag0.2,0.0
64,U0.9 Ag0.1,0.0
65,V0.1 Ag0.9,0.0
65,V0.2 Ag0.8,0.0
65,V0.3 Ag0.7,0.0
65,V0.4 Ag0.6,0.0
65,V0.5 Ag0.5,0.0
65,V0.6 Ag0.4,0.0
65,V0.7 Ag0.3,0.0
65,V0.8 Ag0.2,0.0
65,V0.9 Ag0.1,0.0
66,Ag0.9 Xe0.1,0.0
66,Ag0.8 Xe0.2,0.0
66,Ag0.7 Xe0.3,0.0
66,Ag0.6 Xe0.4,0.0
66,Ag0.5 Xe0.5,0.0
66,Ag0.4 Xe0.6,0.0
66,Ag0.3 Xe0.7,0.0
66,Ag0.2 Xe0.8,0.0
66,Ag0.1 Xe0.9,0.0
66,Xe1,1.0
67,Y0.1 Ag0.9,0.0
67,Y0.2 Ag0.8,0.0
67,Y0.3 Ag0.7,0.0
67,Y0.4 Ag0.6,0.0
67,Y0.5 Ag0.5,1.0
67,Y0.6 Ag0.4,0.0
67,Y0.7 Ag0.3,0.0
67,Y0.8 Ag0.2,0.0
67,Y0.9 Ag0.1,0.0
68,Yb0.1 Ag0.9,0.0
68,Yb0.2 Ag0.8,0.0
68,Yb0.3 Ag0.7,0.0
68,Yb0.4 Ag0.6,1.0
68,Yb0.5 Ag0.5,1.0
68,Yb0.6 Ag0.4,0.0
68,Yb0.7 Ag0.3,1.0
68,Yb0.8 Ag0.2,1.0
68,Yb0.9 Ag0.1,0.0
68,Yb1,1.0
69,Zn0.1 Ag0.9,0.0
69,Zn0.2 Ag0.8,0.0
69,Zn0.3 Ag0.7,0.0
69,Zn0.4 Ag0.6,1.0
69,Zn0.5 Ag0.5,0.0
69,Zn0.6 Ag0.4,0.0
69,Zn0.7 Ag0.3,0.0
69,Zn0.8 Ag0.2,1.0
69,Zn0.9 Ag0.1,0.0
70,Zr0.1 Ag0.9,0.0
70,Zr0.2 Ag0.8,0.0
70,Zr0.3 Ag0.7,1.0
70,Zr0.4 Ag0.6,0.0
70,Zr0.5 Ag0.5,1.0
70,Zr0.6 Ag0.4,0.0
70,Zr0.7 Ag0.3,0.0
70,Zr0.8 Ag0.2,0.0
70,Zr0.9 Ag0.1,0.0
70,Zr1,1.0
71,Al0.9 Ar0.1,0.0
71,Al0.8 Ar0.2,0.0
71,Al0.7 Ar0.3,0.0
71,Al0.6 Ar0.4,0.0
71,Al0.5 Ar0.5,0.0
71,Al0.4 Ar0.6,0.0
71,Al0.3 Ar0.7,0.0
71,Al0.2 Ar0.8,0.0
71,Al0.1 Ar0.9,0.0
71,Ar1,1.0
72,Al0.9 B0.1,0.0
72,Al0.8 B0.2,0.0
72,Al0.7 B0.3,1.0
72,Al0.6 B0.4,0.0
72,Al0.5 B0.5,0.0
72,Al0.4 B0.6,0.0
72,Al0.3 B0.7,0.0
72,Al0.2 B0.8,0.0
72,Al0.1 B0.9,0.0
73,Ba0.1 Al0.9,0.0
73,Ba0.2 Al0.8,0.0
73,Ba0.3 Al0.7,0.0
73,Ba0.4 Al0.6,0.0
73,Ba0.5 Al0.5,0.0
73,Ba0.6 Al0.4,1.0
73,Ba0.7 Al0.3,1.0
73,Ba0.8 Al0.2,1.0
73,Ba0.9 Al0.1,0.0
74,Al0.9 Br0.1,0.0
74,Al0.8 Br0.2,0.0
74,Al0.7 Br0.3,1.0
74,Al0.6 Br0.4,0.0
74,Al0.5 Br0.5,0.0
74,Al0.4 Br0.6,0.0
74,Al0.3 Br0.7,0.0
74,Al0.2 Br0.8,0.0
74,Al0.1 Br0.9,0.0
75,Ce0.1 Al0.9,0.0
75,Ce0.2 Al0.8,0.0
75,Ce0.3 Al0.7,0.0
75,Ce0.4 Al0.6,0.0
75,Ce0.5 Al0.5,0.0
75,Ce0.6 Al0.4,0.0
75,Ce0.7 Al0.3,1.0
75,Ce0.8 Al0.2,1.0
75,Ce0.9 Al0.1,0.0
75,Ce1,1.0
76,Al0.9 Co0.1,0.0
76,Al0.8 Co0.2,0.0
76,Al0.7 Co0.3,0.0
76,Al0.6 Co0.4,0.0
76,Al0.5 Co0.5,1.0
76,Al0.4 Co0.6,0.0
76,Al0.3 Co0.7,1.0
